a_au,e,i_deg,node_deg,peri_deg,mean_anomaly_deg
2.6957,0.1361,7.248,141.90,253.28,189.30
2.6957,0.1666,25.369,355.36,45.64,266.87
2.6966,0.0628,11.274,117.94,236.99,79.92
2.6966,0.0934,11.333,158.03,180.70,38.98
2.6968,0.1466,17.385,77.07,62.91,70.74
2.6969,0.0964,18.798,49.57,153.85,342.53
2.6969,0.0877,16.066,133.01,126.92,85.67
2.6975,0.2563,8.276,259.77,327.97,215.58
2.6983,0.1884,12.468,151.38,81.54,312.12
2.6988,0.0832,3.322,52.71,314.59,32.31
2.6991,0.0871,2.854,138.21,63.55,152.29
2.6992,0.0239,4.445,87.13,47.79,16.49
2.6994,0.0560,9.599,344.73,234.41,121.11
2.6995,0.2517,5.232,83.21,106.72,91.69
2.6995,0.0295,10.832,239.28,290.10,321.76
2.6997,0.0767,6.484,75.10,240.09,349.19
2.6999,0.0207,20.433,122.12,27.32,193.41
2.7000,0.0475,1.429,67.16,312.56,28.89
2.7000,0.1745,5.674,104.59,191.36,44.32
2.7002,0.0800,7.120,115.55,162.28,185.62
2.7005,0.0619,11.081,1.69,282.64,54.06
2.7008,0.0531,10.496,157.02,75.64,292.91
2.7012,0.2076,31.580,21.69,59.97,253.63
2.7013,0.0671,19.230,22.83,263.58,78.15
2.7019,0.2024,14.065,95.77,311.20,77.29
2.7020,0.0370,17.103,2.43,245.92,196.94
2.7025,0.1585,3.301,257.82,117.29,106.66
2.7026,0.0581,7.312,82.57,246.38,287.36
2.7028,0.1894,2.530,50.93,149.45,259.23
2.7030,0.1047,2.767,235.90,110.20,15.28
2.7030,0.0292,16.488,339.94,230.26,164.19
2.7031,0.2438,17.413,68.69,222.71,342.88
2.7032,0.0487,14.390,100.56,229.54,313.96
2.7032,0.1452,12.557,269.13,22.47,249.85
2.7034,0.0621,5.053,144.90,107.18,4.86
2.7035,0.0721,12.645,239.65,12.53,289.76
2.7035,0.0923,9.446,16.95,301.83,242.43
2.7037,0.1071,15.588,305.15,321.97,293.55
2.7046,0.1791,9.791,170.15,49.05,348.99
2.7047,0.1015,16.788,322.10,98.67,286.82
2.7052,0.1531,8.978,222.29,247.51,122.50
2.7056,0.1803,11.218,223.33,262.61,19.22
2.7057,0.1853,5.152,121.55,66.85,277.92
2.7057,0.1459,13.657,168.36,239.74,63.85
2.7058,0.0372,14.615,284.72,93.62,216.04
2.7058,0.2021,6.974,261.44,1.73,209.89
2.7062,0.1010,9.435,331.81,204.45,157.96
2.7062,0.1324,4.633,345.71,237.93,90.59
2.7064,0.2576,8.054,19.46,35.06,353.02
2.7064,0.0599,30.347,169.52,204.22,249.10
2.7067,0.1616,4.937,14.38,149.57,124.34
2.7067,0.2907,7.347,105.68,255.57,186.32
2.7068,0.1342,15.036,54.88,296.17,213.76
2.7068,0.1882,2.389,187.91,159.34,226.12
2.7072,0.0237,13.123,176.80,355.88,174.20
2.7072,0.1501,5.188,197.95,141.83,176.51
2.7073,0.0677,8.890,85.64,317.26,307.61
2.7075,0.1354,3.060,44.65,216.24,253.28
2.7075,0.1200,18.210,246.28,120.98,319.07
2.7075,0.0259,5.307,11.74,27.28,199.38
2.7076,0.0792,6.761,47.28,205.54,135.28
2.7078,0.1825,3.562,0.44,88.06,82.61
2.7081,0.1020,9.861,90.56,356.56,140.06
2.7086,0.2528,13.780,10.48,225.57,188.76
2.7086,0.0452,10.661,119.83,216.35,250.91
2.7086,0.3255,5.192,170.97,15.18,85.35
2.7088,0.1746,11.465,37.35,315.34,319.56
2.7089,0.2295,9.620,113.63,153.06,88.94
2.7099,0.1873,10.979,178.70,186.73,136.26
2.7102,0.0395,9.261,55.43,338.84,113.79
2.7108,0.1247,10.320,93.68,105.14,58.09
2.7109,0.1606,25.365,182.00,269.55,201.67
2.7111,0.0343,6.243,123.28,87.55,201.65
2.7112,0.1628,7.195,97.60,333.33,27.94
2.7112,0.1054,5.182,134.79,98.98,310.18
2.7113,0.1582,20.064,176.48,27.90,276.67
2.7118,0.0721,5.497,191.70,284.68,39.87
2.7118,0.0762,17.450,359.02,187.98,49.19
2.7119,0.1065,21.493,9.43,353.65,24.43
2.7121,0.1814,19.789,141.23,39.41,190.05
2.7121,0.0484,10.311,40.72,27.68,174.02
2.7123,0.1713,22.947,26.00,318.23,107.66
2.7126,0.2950,9.530,77.63,217.78,153.87
2.7127,0.2093,1.779,22.20,161.53,44.64
2.7130,0.0929,14.865,259.47,93.81,143.29
2.7132,0.0316,1.510,19.72,83.25,7.67
2.7132,0.1411,11.476,215.91,259.52,261.03
2.7135,0.1420,10.211,84.32,94.70,164.73
2.7143,0.1413,12.436,344.76,355.84,278.18
2.7147,0.2488,7.604,5.99,11.03,184.87
2.7148,0.0676,6.728,208.60,123.67,2.49
2.7148,0.2203,1.983,242.50,158.26,215.76
2.7148,0.0219,6.922,194.61,161.38,280.53
2.7150,0.0798,14.320,355.22,1.95,37.31
2.7150,0.0922,4.833,244.73,89.66,215.74
2.7150,0.0714,12.310,207.65,50.86,344.96
2.7150,0.1122,2.652,149.38,270.20,342.67
2.7151,0.1904,13.863,173.62,118.16,264.55
2.7153,0.1215,3.697,351.11,186.18,116.87
2.7154,0.1930,8.736,297.10,3.81,193.38
2.7154,0.2779,8.350,352.48,290.18,151.24
2.7165,0.1510,10.820,77.36,175.98,177.06
2.7170,0.2677,2.154,259.49,30.97,169.73
2.7170,0.1729,16.933,270.53,316.06,23.05
2.7174,0.2012,18.100,263.48,309.28,97.15
2.7174,0.0721,9.503,140.15,74.10,190.32
2.7176,0.2842,7.978,132.35,152.13,288.99
2.7179,0.3292,21.572,285.20,260.87,278.51
2.7184,0.2021,21.963,104.26,295.47,258.37
2.7185,0.1524,3.566,319.08,17.63,228.73
2.7186,0.0866,8.829,129.37,155.65,233.04
2.7189,0.1085,5.826,134.46,332.47,321.63
2.7190,0.0717,13.700,53.79,265.35,136.54
2.7190,0.0831,22.115,127.03,118.72,94.29
2.7192,0.0248,4.716,263.64,339.74,250.75
2.7194,0.1824,9.053,273.83,232.46,50.10
2.7196,0.0515,8.553,156.13,86.21,124.01
2.7196,0.1921,5.722,73.80,259.44,160.41
2.7196,0.1350,12.587,116.54,111.55,268.26
2.7197,0.2047,6.469,305.31,0.57,298.05
2.7200,0.2547,12.040,247.05,209.94,273.05
2.7209,0.0870,7.009,11.90,83.87,5.26
2.7214,0.0919,5.761,109.26,212.77,74.55
2.7215,0.0864,22.813,64.24,298.71,352.38
2.7222,0.0930,9.591,72.97,86.46,74.15
2.7223,0.0874,12.922,8.22,244.80,199.92
2.7227,0.1351,15.835,129.11,270.95,169.68
2.7228,0.2786,10.852,27.44,346.24,310.59
2.7231,0.1196,13.692,324.53,178.84,312.16
2.7232,0.0676,7.859,227.66,294.05,91.60
2.7236,0.1141,12.485,84.99,148.25,84.00
2.7237,0.0653,2.924,217.44,197.45,228.57
2.7239,0.0253,6.372,357.86,118.34,174.96
2.7239,0.0803,8.491,238.59,305.42,179.93
2.7240,0.2009,7.124,321.02,317.61,160.65
2.7240,0.0181,4.866,353.22,31.15,235.34
2.7245,0.1067,4.311,133.78,190.14,178.17
2.7250,0.1015,8.663,340.42,25.80,142.50
2.7251,0.0697,4.719,139.24,356.56,349.07
2.7251,0.1628,6.981,268.06,206.22,350.96
2.7253,0.1922,23.429,317.60,68.42,24.74
2.7256,0.1698,6.938,163.58,282.72,339.44
2.7259,0.2059,4.395,252.63,301.69,42.19
2.7260,0.1867,9.413,333.36,55.69,93.56
2.7261,0.2298,10.354,266.33,347.84,145.59
2.7265,0.1005,8.662,108.83,200.95,95.61
2.7266,0.1095,4.013,203.76,74.04,76.74
2.7267,0.1366,15.198,202.41,122.33,170.38
2.7268,0.0841,8.411,91.13,207.09,168.50
2.7271,0.1369,7.821,162.41,287.84,310.91
2.7271,0.0280,17.855,106.58,142.11,33.25
2.7271,0.0408,1.940,247.37,165.19,112.67
2.7272,0.3378,17.887,23.31,125.09,180.18
2.7274,0.0185,5.508,202.63,324.56,178.31
2.7278,0.1693,10.385,347.45,123.64,231.70
2.7279,0.2429,17.500,71.83,127.27,30.74
2.7280,0.1241,4.310,298.14,156.65,200.87
2.7280,0.0788,8.074,258.68,112.47,80.21
2.7283,0.1141,16.898,108.39,351.25,236.80
2.7283,0.0955,5.484,183.17,324.23,349.23
2.7289,0.1147,14.804,34.82,123.29,208.23
2.7291,0.0998,6.905,102.19,114.73,313.07
2.7295,0.0357,11.719,13.85,147.54,15.65
2.7298,0.1937,3.761,292.62,39.75,223.18
2.7302,0.1546,1.323,200.06,274.90,109.83
2.7304,0.1907,9.424,72.13,3.01,237.97
2.7304,0.1429,12.641,197.89,38.39,333.06
2.7313,0.2645,6.395,302.78,155.71,262.96
2.7314,0.1963,13.583,221.30,124.13,27.37
2.7315,0.1920,7.888,86.18,341.51,48.57
2.7318,0.0547,6.969,232.72,105.41,72.81
2.7326,0.0669,3.653,72.89,321.70,276.25
2.7327,0.2478,6.136,118.91,89.05,175.78
2.7327,0.0456,11.819,41.42,184.00,92.17
2.7334,0.0626,5.175,51.85,313.18,112.98
2.7334,0.2143,8.802,203.06,62.34,21.28
2.7335,0.1081,7.065,357.89,137.61,233.15
2.7335,0.0650,7.947,30.45,160.00,278.89
2.7348,0.2196,24.162,257.48,36.43,291.05
2.7352,0.1087,6.197,287.69,279.90,256.21
2.7354,0.0938,20.594,18.19,112.70,175.81
2.7359,0.1938,14.844,137.49,24.20,91.92
2.7362,0.0695,7.315,132.91,57.46,197.63
2.7363,0.0822,9.511,39.94,307.63,218.80
2.7363,0.1101,12.021,72.55,248.55,329.24
2.7364,0.1635,17.955,85.39,139.66,354.90
2.7368,0.1208,11.125,355.80,10.82,336.04
2.7371,0.0732,18.437,171.80,251.55,103.21
2.7371,0.0599,16.228,245.71,234.58,166.93
2.7371,0.1000,7.468,239.19,312.75,34.22
2.7375,0.1400,7.109,125.68,154.88,186.09
2.7378,0.0553,13.316,351.12,133.82,283.23
2.7378,0.0696,21.586,100.77,89.28,205.25
2.7379,0.0552,11.121,288.50,270.19,225.15
2.7382,0.1244,7.243,118.50,80.54,79.30
2.7384,0.0347,2.314,343.30,283.89,339.34
2.7394,0.1484,21.268,206.16,302.10,289.96
2.7396,0.1010,8.976,331.19,290.74,212.02
2.7401,0.0675,7.005,114.66,172.41,179.99
2.7401,0.2325,4.411,296.50,144.85,25.40
2.7403,0.1668,9.246,311.62,33.35,244.59
2.7406,0.1807,3.889,138.78,120.90,231.71
2.7406,0.2124,14.861,272.44,217.33,8.35
2.7410,0.1511,6.686,145.44,228.06,277.51
2.7410,0.1041,12.239,318.79,346.91,212.71
2.7412,0.0284,21.124,315.15,11.70,184.19
2.7413,0.0492,4.697,24.55,106.92,150.19
2.7413,0.1590,4.736,168.57,125.86,129.80
2.7415,0.1930,6.727,297.14,168.86,44.99
2.7416,0.1502,6.808,281.11,325.38,330.17
2.7420,0.1204,14.408,92.77,29.18,78.42
2.7423,0.1498,15.674,326.80,219.72,154.74
2.7426,0.1235,13.837,186.40,337.78,189.94
2.7428,0.1637,8.463,20.23,149.61,141.44
2.7430,0.1401,2.683,35.97,160.89,86.91
2.7431,0.0970,7.599,66.25,112.68,58.65
2.7432,0.1219,22.757,340.63,278.25,7.57
2.7434,0.1661,4.250,72.26,116.38,23.82
2.7435,0.1206,5.208,139.62,186.07,262.37
2.7442,0.1676,7.384,248.69,141.31,143.48
2.7444,0.1150,15.417,260.95,74.81,49.95
2.7452,0.1931,16.072,13.62,234.53,170.28
2.7452,0.0918,4.490,268.10,235.13,21.21
2.7453,0.0306,7.044,5.81,114.20,344.72
2.7453,0.1939,11.179,313.65,79.66,28.33
2.7454,0.2535,5.690,138.42,180.75,160.87
2.7456,0.0663,11.211,242.27,13.11,162.78
2.7456,0.1040,5.341,89.11,217.11,321.34
2.7458,0.0806,5.347,223.52,76.27,0.04
2.7460,0.0321,11.173,257.74,84.31,51.56
2.7461,0.2901,7.957,219.79,8.78,344.56
2.7469,0.1598,7.544,354.77,61.81,215.59
2.7470,0.1853,13.099,214.72,77.69,15.26
2.7481,0.0560,2.015,172.65,141.95,30.95
2.7481,0.2892,9.616,303.95,349.31,30.93
2.7482,0.0700,7.949,319.17,220.04,31.39
2.7487,0.0730,1.243,164.62,49.33,319.09
2.7489,0.0903,4.830,228.32,23.94,173.57
2.7489,0.2807,8.300,276.93,182.35,267.01
2.7490,0.2070,12.080,29.63,248.62,302.76
2.7491,0.0781,8.157,0.68,240.43,136.67
2.7492,0.1986,27.748,293.48,176.69,96.65
2.7499,0.0787,8.590,170.37,197.80,291.39
2.7501,0.0831,12.553,355.72,128.21,225.04
2.7503,0.0381,19.962,138.29,311.68,21.77
2.7505,0.0494,6.839,70.06,242.78,225.07
2.7507,0.1121,13.596,215.64,263.19,4.17
2.7507,0.1375,20.048,89.61,128.01,149.83
2.7508,0.2586,13.967,150.90,87.37,237.54
2.7509,0.1387,9.561,205.36,275.63,281.30
2.7513,0.1279,8.358,250.49,319.16,251.10
2.7522,0.1855,11.855,337.41,14.73,47.41
2.7524,0.0955,8.092,174.42,76.52,237.42
2.7524,0.1251,11.638,255.91,59.42,92.90
2.7525,0.0359,2.867,270.91,287.55,283.86
2.7528,0.0735,17.340,38.21,343.10,105.23
2.7530,0.1114,17.728,147.63,22.48,128.37
2.7531,0.2455,11.352,70.98,21.79,355.15
2.7535,0.0882,8.112,320.72,310.51,20.49
2.7536,0.1271,17.585,127.80,318.91,78.07
2.7537,0.0285,3.835,206.76,82.84,156.22
2.7539,0.2489,4.482,137.48,71.14,233.15
2.7539,0.1338,10.755,238.85,55.02,217.80
2.7539,0.0524,5.088,304.66,141.09,127.05
2.7541,0.2379,13.337,330.27,234.61,358.10
2.7545,0.2275,9.624,0.75,112.69,143.94
2.7551,0.1545,8.022,38.69,198.08,87.42
2.7552,0.2226,20.323,94.43,34.01,223.27
2.7552,0.1414,10.300,301.00,277.09,32.55
2.7552,0.1586,3.781,198.98,248.64,99.58
2.7552,0.1718,15.968,151.17,144.67,300.90
2.7553,0.0849,2.591,347.79,322.60,326.67
2.7557,0.1410,16.885,271.68,166.85,259.12
2.7560,0.0966,11.907,265.27,355.58,38.36
2.7561,0.1691,4.300,160.68,135.68,7.27
2.7564,0.0994,5.247,357.90,101.34,109.50
2.7566,0.1906,22.413,173.66,347.32,172.90
2.7571,0.0883,16.927,183.99,299.00,158.95
2.7576,0.0650,12.380,196.94,187.84,200.05
2.7578,0.2127,4.347,79.00,334.68,228.25
2.7580,0.1388,13.639,109.49,194.78,236.79
2.7580,0.2741,16.569,218.66,307.23,305.46
2.7582,0.1543,19.477,168.75,36.22,299.77
2.7583,0.1897,10.940,254.65,16.16,67.27
2.7583,0.1037,8.116,159.36,269.90,147.67
2.7587,0.2019,11.507,275.25,258.12,252.14
2.7591,0.1098,7.847,129.61,133.45,88.94
2.7592,0.3348,4.824,315.00,195.36,283.85
2.7592,0.1073,6.861,277.38,328.24,327.12
2.7593,0.2687,13.791,26.33,159.80,70.33
2.7593,0.1776,1.135,186.06,171.51,281.70
2.7594,0.1321,11.799,195.05,192.65,240.38
2.7595,0.1669,13.380,332.18,273.01,155.77
2.7602,0.2351,20.657,210.57,267.15,119.52
2.7605,0.0477,13.273,51.61,55.49,117.48
2.7607,0.0747,3.304,174.42,21.34,94.22
2.7607,0.2082,13.994,167.83,233.40,352.19
2.7609,0.1091,11.423,4.52,138.80,338.88
2.7611,0.1441,10.479,326.69,129.91,199.98
2.7613,0.0400,5.696,304.89,327.90,62.56
2.7613,0.0920,0.888,125.96,121.84,159.96
2.7618,0.1532,7.782,137.46,52.98,152.93
2.7618,0.1252,9.216,156.74,104.69,55.09
2.7621,0.1419,4.616,191.20,170.66,289.57
2.7622,0.0478,14.031,253.92,187.90,228.72
2.7622,0.1350,7.251,251.16,196.90,279.95
2.7624,0.1950,16.694,127.50,156.13,55.80
2.7626,0.0640,7.830,24.28,134.26,5.49
2.7630,0.3010,14.262,291.83,354.86,124.69
2.7634,0.0878,14.182,58.24,165.63,254.66
2.7638,0.0573,20.473,237.65,99.93,136.04
2.7641,0.0807,18.657,356.68,277.46,22.15
2.7642,0.1762,7.776,156.79,65.46,112.97
2.7642,0.1286,13.578,345.39,247.26,18.96
2.7643,0.0593,3.686,100.92,139.97,37.96
2.7649,0.0919,12.403,269.22,286.37,347.50
2.7650,0.3397,14.703,160.73,168.38,264.35
2.7653,0.0982,2.953,293.58,287.56,52.99
2.7660,0.2187,2.198,207.80,355.56,359.46
2.7661,0.0298,8.819,355.14,13.10,106.45
2.7661,0.1448,11.863,19.47,126.99,67.96
2.7671,0.0333,7.452,257.50,334.47,98.04
2.7673,0.1439,14.443,62.57,262.22,206.75
2.7677,0.1752,18.129,240.64,307.98,336.90
2.7677,0.1395,17.176,262.12,157.73,81.95
2.7685,0.0795,7.344,236.32,279.83,301.61
2.7691,0.1238,8.000,276.94,68.75,293.91
2.7694,0.1247,15.455,12.68,316.78,197.35
2.7695,0.2228,4.882,116.56,112.55,206.32
2.7697,0.0319,14.804,335.64,45.14,36.42
2.7700,0.1298,2.927,148.82,303.66,120.84
2.7701,0.0912,24.704,225.21,84.30,59.78
2.7703,0.1116,20.828,205.50,331.08,177.03
2.7704,0.1182,4.085,308.06,296.25,29.66
2.7714,0.1208,14.677,4.67,128.22,249.99
2.7720,0.0200,7.328,100.93,344.48,244.92
2.7721,0.1402,13.843,105.08,59.05,168.10
2.7721,0.1164,7.155,155.99,238.48,325.48
2.7722,0.0960,13.984,350.97,191.17,300.42
2.7722,0.1155,8.133,180.14,139.63,225.65
2.7725,0.0794,15.504,140.82,321.03,217.14
2.7728,0.1140,25.394,189.90,72.37,332.85
2.7732,0.1344,6.930,77.82,87.28,276.93
2.7732,0.0745,1.940,156.86,198.08,294.11
2.7734,0.1797,6.831,272.15,64.17,235.20
2.7735,0.0734,15.646,92.11,233.68,83.26
2.7736,0.2215,18.777,57.13,163.40,241.16
2.7740,0.1475,9.881,250.56,281.42,43.65
2.7741,0.1284,10.636,97.95,239.01,262.31
2.7745,0.1486,3.118,317.97,141.33,159.30
2.7746,0.1702,9.966,115.00,140.12,326.17
2.7746,0.0123,6.795,7.13,74.61,146.03
2.7747,0.1448,2.206,197.05,251.77,54.22
2.7755,0.1211,6.907,46.89,301.55,167.74
2.7757,0.1724,8.782,183.16,101.65,243.95
2.7761,0.2257,6.389,35.85,73.15,183.74
2.7764,0.1893,8.474,299.05,299.97,143.76
2.7766,0.2102,7.910,211.96,160.35,35.01
2.7766,0.1639,7.070,61.79,75.81,237.46
2.7769,0.0735,11.388,279.08,190.85,27.53
2.7770,0.0945,15.869,58.82,192.03,80.59
2.7772,0.1110,16.749,348.93,328.08,39.38
2.7774,0.1218,10.104,241.48,109.35,109.72
2.7778,0.0512,15.084,355.14,227.73,350.66
2.7780,0.1413,14.568,2.88,254.93,258.83
2.7781,0.1496,12.012,236.38,8.68,164.78
2.7782,0.1318,9.150,177.81,1.58,348.07
2.7790,0.1151,13.004,204.06,146.21,190.17
2.7795,0.0998,7.810,129.54,3.47,92.02
2.7797,0.1266,12.612,131.72,272.55,204.53
2.7798,0.0809,24.862,80.75,70.43,249.87
2.7798,0.0598,12.343,278.72,355.13,309.29
2.7799,0.1000,11.809,246.64,79.17,109.49
2.7799,0.0615,2.933,184.93,308.01,54.34
2.7800,0.0684,10.391,113.76,69.84,188.45
2.7800,0.1144,8.752,125.06,353.95,353.43
2.7801,0.2725,12.191,332.37,51.27,192.89
2.7804,0.1336,5.667,82.76,131.78,201.19
2.7805,0.1942,3.801,119.85,134.39,89.10
2.7806,0.1502,17.202,92.73,181.02,297.11
2.7807,0.1950,10.990,292.20,196.10,245.64
2.7807,0.0863,14.822,316.58,177.44,49.31
2.7816,0.1388,5.964,23.49,111.36,262.07
2.7818,0.2049,4.559,222.04,238.49,299.99
2.7818,0.1190,12.441,9.36,213.48,208.73
2.7819,0.1244,13.846,190.20,77.50,133.44
2.7822,0.1791,13.673,161.26,1.17,142.63
2.7825,0.1541,8.785,31.88,84.43,357.25
2.7832,0.0918,10.984,209.69,317.59,267.91
2.7837,0.0189,19.829,339.05,242.06,53.72
2.7839,0.1263,8.302,112.45,355.71,146.54
2.7840,0.1350,5.967,145.71,100.52,267.58
2.7842,0.0891,14.850,138.20,321.41,139.15
2.7843,0.1316,13.808,238.72,255.98,93.15
2.7844,0.0198,14.386,117.35,296.18,125.26
2.7845,0.1483,7.840,208.31,32.13,263.34
2.7846,0.2300,10.849,143.67,309.57,179.13
2.7848,0.2488,8.124,334.50,66.16,102.55
2.7850,0.1593,13.109,252.45,50.46,279.27
2.7852,0.1960,17.724,337.75,331.64,289.89
2.7854,0.1333,2.969,96.98,273.11,286.47
2.7859,0.1538,12.567,225.58,31.55,143.88
2.7861,0.2182,21.125,108.76,86.58,89.75
2.7869,0.0549,1.289,104.03,100.19,217.31
2.7876,0.0542,6.186,92.67,17.28,119.47
2.7880,0.0960,25.091,97.92,351.89,76.45
2.7882,0.1068,8.495,47.51,193.33,246.95
2.7883,0.2933,16.502,187.21,8.64,268.59
2.7889,0.0555,11.025,251.82,168.55,280.01
2.7891,0.0527,13.022,257.85,81.74,287.57
2.7897,0.1386,20.468,21.07,7.80,277.32
2.7900,0.1648,7.878,352.75,344.02,130.59
2.7903,0.0581,18.148,11.22,260.84,301.45
2.7906,0.0716,6.659,142.36,245.38,88.04
2.7907,0.1242,12.462,43.62,311.08,205.13
2.7911,0.0952,11.947,90.82,331.11,102.76
2.7913,0.0480,21.832,46.82,289.53,170.56
2.7913,0.0701,18.393,356.13,79.58,62.38
2.7913,0.1492,12.946,195.94,27.24,112.29
2.7918,0.0572,8.161,8.22,99.09,281.04
2.7920,0.0359,18.517,275.38,69.48,355.03
2.7923,0.2232,14.754,17.06,297.40,242.76
2.7924,0.1276,9.601,258.12,323.89,238.99
2.7926,0.1560,6.627,286.58,23.93,159.06
2.7926,0.1784,13.933,330.36,65.11,306.97
2.7926,0.0375,11.560,102.62,218.76,54.47
2.7926,0.1675,13.832,118.40,256.39,56.37
2.7930,0.1298,8.344,108.22,93.11,279.79
2.7931,0.1092,3.784,88.68,109.74,251.55
2.7935,0.1203,15.186,231.88,7.54,63.67
2.7936,0.1682,10.494,168.31,217.90,199.33
2.7940,0.2404,5.628,93.24,42.45,134.94
2.7945,0.1285,14.722,89.82,244.76,303.90
2.7950,0.1406,2.476,136.88,356.27,247.18
2.7953,0.1473,4.581,213.31,76.58,262.25
2.7954,0.1875,7.439,287.33,301.98,97.14
2.7955,0.0995,24.959,130.51,119.23,1.24
2.7957,0.1337,20.374,118.93,106.37,282.65
2.7961,0.1191,15.238,272.89,288.48,342.51
2.7964,0.1133,19.130,250.23,95.81,162.18
2.7965,0.0800,10.284,304.39,119.92,216.89
2.7968,0.0542,5.407,192.27,346.77,111.94
2.7970,0.1762,22.165,264.72,348.07,330.44
2.7971,0.1862,7.227,319.81,316.06,136.20
2.7971,0.0581,2.747,3.49,116.85,76.99
2.7983,0.1056,10.088,90.70,131.26,164.37
2.7983,0.0714,3.153,325.86,208.06,106.54
2.7983,0.1158,3.921,241.02,232.16,73.44
2.7984,0.1186,9.477,19.10,134.59,76.79
2.7991,0.1886,2.391,80.58,290.38,208.00
2.7997,0.0883,3.939,115.22,149.20,349.23
2.8001,0.1055,8.637,101.97,34.33,50.03
2.8003,0.2261,12.660,243.65,243.32,106.67
2.8005,0.1070,11.989,118.61,256.68,178.57
2.8010,0.0715,13.047,348.86,268.90,96.18
2.8010,0.0297,2.767,144.52,116.58,205.36
2.8010,0.0028,5.911,179.72,92.01,227.79
2.8015,0.1766,12.193,165.39,290.46,49.39
2.8016,0.2709,18.261,222.37,115.32,354.13
2.8016,0.1080,8.623,135.00,64.02,138.42
2.8023,0.0125,10.593,266.04,0.84,332.89
2.8028,0.2880,7.443,241.58,104.22,322.07
2.8029,0.2092,14.253,68.51,40.12,199.03
2.8038,0.1072,8.478,259.31,26.92,210.70
2.8039,0.1243,4.251,229.32,284.41,342.18
2.8042,0.0468,4.785,131.74,22.13,191.28
2.8043,0.0977,1.733,292.32,112.71,19.28
2.8049,0.0732,5.244,320.30,62.45,224.54
2.8055,0.1483,17.914,51.73,123.95,172.13
2.8060,0.1846,9.727,353.74,243.56,166.38
2.8060,0.0797,13.330,207.47,45.76,77.40
2.8063,0.1561,12.288,294.84,130.42,326.01
2.8065,0.0391,1.169,32.14,152.89,75.62
2.8067,0.0778,18.170,145.30,35.14,83.68
2.8071,0.0952,5.045,21.08,8.88,132.36
2.8073,0.0878,7.463,217.93,338.70,119.09
2.8076,0.1251,11.716,192.96,220.26,27.09
2.8078,0.1945,10.243,61.39,167.63,297.89
2.8078,0.0894,12.289,290.85,166.29,322.74
2.8081,0.0578,6.400,221.85,114.00,257.64
2.8082,0.1288,10.404,314.70,102.46,136.12
2.8089,0.2750,6.205,30.69,301.36,135.95
2.8097,0.1016,8.744,212.02,287.10,336.33
2.8104,0.1016,2.312,131.19,219.91,27.97
2.8104,0.0824,11.475,29.50,241.06,89.67
2.8112,0.2525,8.462,49.88,268.90,162.75
2.8113,0.0691,4.495,32.77,329.91,63.22
2.8124,0.2050,16.738,56.35,155.72,310.36
2.8132,0.1850,16.901,102.48,242.36,121.36
2.8132,0.2230,15.330,35.26,114.44,239.59
2.8153,0.2178,13.775,282.98,162.34,287.56
2.8153,0.0826,14.292,328.48,99.49,225.98
2.8154,0.1080,5.993,10.29,89.60,68.33
2.8167,0.2347,28.193,264.93,311.15,295.04
2.8182,0.0656,12.438,217.35,127.33,274.38
2.8185,0.1648,7.165,326.76,135.09,186.71
2.8196,0.1358,15.473,178.67,135.04,120.86
2.8203,0.0388,12.847,355.43,119.30,160.49
2.8204,0.1602,13.110,181.51,2.02,345.38
2.8250,0.2355,15.399,181.16,107.65,42.38
2.8305,0.0612,14.649,96.36,86.00,182.09
2.8308,0.1332,10.048,318.47,7.65,259.80
2.8337,0.1334,5.133,333.62,229.26,129.05
2.8341,0.0750,10.515,241.71,266.67,279.15
2.8359,0.1219,5.656,106.76,90.59,203.65
2.8359,0.1817,6.334,234.27,32.72,163.12
2.8360,0.1791,9.752,323.92,86.45,21.72
2.8367,0.0601,8.793,238.53,19.04,43.51
2.8372,0.0464,10.433,4.18,181.35,61.79
2.8373,0.0351,18.813,138.51,297.12,348.58
2.8375,0.1819,5.506,121.33,190.91,303.54
2.8376,0.0631,18.845,118.85,94.54,322.73
2.8381,0.0814,3.637,345.39,301.87,118.43
2.8394,0.2171,20.898,153.81,74.49,255.26
2.8403,0.1097,22.703,9.64,53.38,332.09
2.8405,0.1891,11.061,253.03,141.25,18.18
2.8417,0.1025,16.885,62.51,313.25,8.11
2.8418,0.1162,11.778,78.20,269.57,273.31
2.8424,0.0698,9.666,44.41,310.92,244.33
2.8430,0.2737,14.089,130.91,232.80,137.80
2.8431,0.1268,9.735,158.00,231.47,145.56
2.8431,0.1511,13.471,104.30,77.16,189.32
2.8438,0.0745,22.637,324.65,281.69,170.54
2.8441,0.1123,18.680,318.05,194.56,24.52
2.8445,0.0975,8.690,291.47,68.47,336.05
2.8446,0.0981,10.226,305.85,149.54,149.27
2.8447,0.1990,15.898,250.39,213.38,166.20
2.8448,0.0572,10.230,312.43,150.37,169.69
2.8453,0.1534,5.925,120.82,100.12,309.41
2.8457,0.0414,12.138,73.95,334.86,87.70
2.8462,0.1453,11.226,138.92,10.17,16.73
2.8464,0.0824,7.917,60.13,26.17,229.94
2.8465,0.0874,10.216,85.46,137.67,115.78
2.8466,0.0725,7.135,175.79,122.19,132.91
2.8467,0.0475,19.480,180.92,292.06,358.26
2.8470,0.1776,2.078,90.42,63.52,113.56
2.8471,0.1004,8.156,68.24,211.84,64.26
